Count,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
7,29.779,85.572,369,261,3297591,8936.561,4845.455,6865,4531,23727,524.526,589.285,3.401,1.797,0.519,1.706,524.875,589.528,3.269,514,582,1,18,14,5
8,58.67,149.122,727,578,4931259,6783.025,1903.602,6334,4501,13281,412.959,750.827,2.722,2.597,0.799,2.605,413.128,751.343,2.542,400,739,1,23,23,5
9,18.319,57.997,227,196,1466509,6460.392,2219.371,5764,4530,14866,384.286,233.018,2.93,1.431,0.409,1.403,384.213,232.625,2.94,377,227,2,14,15,3
10,40.19,127.906,498,433,2972986,5969.852,1556.515,5488.5,4502,12758,380.765,257.761,4.235,2.373,0.926,2.423,381.368,257.457,4.084,365,249,2,28,22,5
11,33.653,117.143,417,384,2507231,6012.544,1544.375,5381,4510,11433,388.18,335.504,3.453,2.308,1.039,2.197,388.096,335.395,3.362,376,327,2,29,18,4
12,20.095,59.03,249,245,1438570,5777.39,846.61,5681,4517,7718,488.321,438.53,3.39,1.396,0.483,1.387,488.25,438.555,3.396,481,432,2,14,16,3
13,35.751,106.285,443,439,2809657,6342.341,1519.376,6046,4500,11311,120.07,692.284,3.201,2.005,0.884,1.864,119.734,692.712,3.169,110,679,2,22,25,4
14,24.291,84.63,301,279,1807359,6004.515,1607.306,5388,4503,12291,413.884,401.844,4.209,2.04,0.671,2.018,414.116,402.413,4.182,406,389,3,16,24,3
15,24.453,71.594,303,271,1821926,6012.957,1141.241,5734,4507,8648,171.591,571.284,5.158,1.611,0.547,1.538,171.317,571.225,5.186,164,566,3,19,13,4
16,16.786,62.045,208,195,1112061,5346.447,770.633,5098.5,4509,7669,116.163,650.25,3.957,1.528,0.528,1.541,116.18,649.988,3.944,110,643,3,13,18,3
17,74.084,193.631,918,664,5603767,6104.321,1390.961,5685,4505,11264,586.27,709.582,6.359,2.991,1.228,2.682,586.415,709.635,6.427,572,700,3,26,28,10
18,43.256,120.101,536,463,3284111,6127.073,1692.461,5508,4500,12701,201.571,749.7,4.017,2.01,0.634,2.072,201.389,749.489,3.939,192,740,3,21,20,4
19,32.119,106.291,398,398,2162872,5434.352,862.463,5266,4502,8790,168.274,783.329,4.779,2.297,0.988,2.243,168.458,783.35,4.782,157,770,3,27,23,4
20,59.558,126.783,738,467,5287737,7164.955,1973.457,6756,4502,12121,521.304,511.003,6.593,2.279,0.489,2.31,521.546,510.876,6.672,511,501,4,18,21,6
21,24.453,73.299,303,275,1882010,6211.254,2005.52,5486,4500,13663,485.825,630.436,4.716,1.761,0.772,1.605,486.449,629.742,4.7,474,622,4,20,21,3
22,18.561,68.753,230,230,1356473,5897.708,1316.261,5504,4516,9597,365.683,656.439,4.357,1.653,0.629,1.622,365.979,656.245,4.318,355,648,4,21,16,2
23,16.705,53.374,207,183,1229593,5940.063,1005.136,5790,4534,8173,216.928,688.643,4.7,1.462,0.497,1.389,216.905,688.705,4.683,212,682,4,11,17,3
24,192.393,384.819,2384,1472,17187916,7209.696,2484.663,6473,4501,16772,395.277,776.211,8.335,3.392,0.834,3.381,395.481,776.653,8.304,381,761,4,30,29,8
25,25.663,74.125,318,245,2424033,7622.745,2552.422,6854,4532,14401,218.314,122.431,6.969,1.614,0.396,1.585,218.422,122.24,6.964,213,116,5,14,15,5
26,21.467,56.777,266,217,1905228,7162.511,2007.891,6943,4532,11897,538.124,442.688,6.158,1.426,0.254,1.434,538.106,442.671,6.164,532,437,5,13,13,3
27,24.049,72.259,298,251,1993981,6691.211,1684.449,6289.5,4501,11601,76.775,608.087,6.973,1.776,0.705,1.632,76.738,608.133,6.997,72,600,5,11,21,4
28,21.225,65.293,263,223,1781125,6772.338,1789.216,6339,4512,11247,489.624,617.597,7.255,1.51,0.493,1.425,489.643,617.658,7.261,485,607,5,10,20,5
29,18.4,69.767,228,201,1374857,6030.075,1518.06,5524.5,4513,11060,448.254,613.237,7.057,1.884,0.653,1.929,448.431,613.169,7.047,439,606,5,16,17,5
