Count,Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
123,25.018,80.743,310,294,2675262,8629.877,2388.851,8216,5568,15879,295.929,592.3,6.352,1.868,0.711,1.872,295.772,592.143,6.328,288,583,5,19,19,4
124,82.477,209.178,1022,739,10293782,10072.193,4699.665,8315.5,5565,26593,584.102,690.858,7.725,3.053,1.166,2.971,584.161,690.051,7.647,571,676,5,27,36,7
125,19.691,72.582,244,236,1696577,6953.185,1299.583,6433.5,5568,10948,435.922,683.627,5.926,1.764,0.779,1.611,435.845,683.606,5.909,429,674,5,13,23,3
126,163.663,323.759,2028,1435,20473568,10095.447,5155.408,8282.5,5578,40282,200.169,698.943,8.777,3.456,1.163,3.452,200.543,698.446,8.819,183,683,5,36,36,8
127,157.369,343.245,1950,1395,19036962,9762.545,4029.783,8392,5568,23779,342.215,735.525,8.909,3.389,1.266,3.272,342.268,735.794,8.963,325,718,5,37,34,8
128,32.119,93.397,398,329,3607831,9064.902,3020.955,8179.5,5564,19774,451.776,732.136,6.992,2.051,0.634,2.073,451.543,732.013,6.877,444,722,5,17,21,5
129,19.933,64.46,247,240,1691526,6848.283,973.046,6629,5586,9600,357.061,33.036,7.348,1.469,0.532,1.459,357.076,32.957,7.37,349,25,6,16,16,3
130,309.33,548.585,3833,2927,38628176,10077.792,4427.952,8416,5561,27782,460.45,129.227,8.325,5.574,2.348,5.345,462.811,127.993,8.438,417,108,6,78,51,5
131,155.512,273.684,1927,1319,24007548,12458.51,6192.921,10624,5563,28828,287.632,144.068,9.313,3.35,1.16,3.315,287.391,144.128,9.368,267,129,6,40,30,6
132,21.709,61.167,269,217,2791057,10375.677,4510.294,8765,5600,21448,173.416,226.268,7.61,1.462,0.29,1.479,173.355,226.127,7.601,168,221,6,13,13,4
133,192.716,432.69,2388,2037,20025852,8386.035,2566.832,7785,5564,24140,163.096,277.328,8.907,4.236,1.835,4.025,163.277,276.984,8.858,141,244,6,41,60,6
134,18.642,68.773,231,216,1696158,7342.675,1742.011,6795,5562,12606,428.71,281.147,8.009,2.027,0.635,2.126,428.67,281.082,7.984,422,275,6,15,13,5
135,270.997,408.512,3358,2113,39319708,11709.264,4676.932,11000,5565,26210,475.271,295.349,8.678,4.083,1.532,3.879,474.833,294.818,8.698,451,275,6,53,45,6
136,50.6,130.463,627,529,4638523,7397.963,1520.272,7100,5561,12294,307.059,380.485,7.319,2.354,0.909,2.188,307.171,380.363,7.286,294,373,6,31,23,4
137,49.228,102.32,610,397,4438711,7276.575,1113.796,7184,5567,9643,88.739,519.131,8.534,2.025,0.334,2.025,88.777,519.038,8.558,82,510,6,14,18,5
